"neighbourhood","neighbourhood_group","room_type","price","minimum_nights","number_of_reviews"
"Boerum Hill","Brooklyn","Entire home/apt",145,13,5
"Columbia St","Brooklyn","Private room",65,30,8
"Bedford-Stuyvesant","Brooklyn","Private room",67,5,175
"North Riverdale","Bronx","Private room",80,7,1
"Concourse","Bronx","Private room",40,2,5
"East Village","Manhattan","Entire home/apt",110,30,1
"Lower East Side","Manhattan","Private room",128,30,16
"East Flatbush","Brooklyn","Private room",38,30,0
"Crown Heights","Brooklyn","Private room",350,30,0
"Bushwick","Brooklyn","Entire home/apt",129,30,5
"Greenpoint","Brooklyn","Entire home/apt",120,30,0
"Hell's Kitchen","Manhattan","Entire home/apt",200,30,0
"Prospect Heights","Brooklyn","Private room",75,2,50
"Flatbush","Brooklyn","Private room",45,30,0
"Upper West Side","Manhattan","Entire home/apt",290,30,1
"Bedford-Stuyvesant","Brooklyn","Private room",64,30,9
"Bushwick","Brooklyn","Private room",50,28,11
"East Flatbush","Brooklyn","Entire home/apt",140,4,0
"Bedford-Stuyvesant","Brooklyn","Private room",45,30,13
"Upper West Side","Manhattan","Hotel room",558,1,0
"Downtown Brooklyn","Brooklyn","Entire home/apt",175,30,0
"Bushwick","Brooklyn","Private room",33,30,7
"Washington Heights","Manhattan","Private room",25,30,1
"St. Albans","Queens","Entire home/apt",162,2,17
"Bayside","Queens","Entire home/apt",53,30,78
"SoHo","Manhattan","Private room",271,30,33
"Gramercy","Manhattan","Entire home/apt",250,30,0
"Windsor Terrace","Brooklyn","Entire home/apt",350,2,17
"Flatbush","Brooklyn","Private room",49,3,38
"Upper West Side","Manhattan","Private room",34,30,3
"Elmhurst","Queens","Entire home/apt",100,30,12
"Prospect Heights","Brooklyn","Private room",90,1,6
"Bushwick","Brooklyn","Entire home/apt",72,30,0
"Borough Park","Brooklyn","Private room",40,30,11
"Williamsburg","Brooklyn","Private room",75,30,3
"Chelsea","Manhattan","Entire home/apt",429,1,7
"Murray Hill","Manhattan","Private room",271,1,14
"Harlem","Manhattan","Private room",40,30,0
"Clinton Hill","Brooklyn","Entire home/apt",6500,30,0
"Prospect-Lefferts Gardens","Brooklyn","Entire home/apt",72,30,140
"Ridgewood","Queens","Private room",35,30,9
"Upper East Side","Manhattan","Entire home/apt",203,2,2
"Midtown","Manhattan","Entire home/apt",250,30,15
"Park Slope","Brooklyn","Entire home/apt",596,14,15
"Upper East Side","Manhattan","Entire home/apt",300,30,1
"Upper West Side","Manhattan","Private room",57,30,0
"Upper West Side","Manhattan","Entire home/apt",150,175,0
"Murray Hill","Manhattan","Entire home/apt",175,30,16
"East Village","Manhattan","Entire home/apt",125,30,3
"Williamsburg","Brooklyn","Entire home/apt",250,31,8
"Williamsburg","Brooklyn","Private room",85,30,0
"Harlem","Manhattan","Entire home/apt",180,30,2
"Bushwick","Brooklyn","Private room",31,90,1
"Clinton Hill","Brooklyn","Entire home/apt",250,2,45
"Bedford-Stuyvesant","Brooklyn","Private room",70,1,192
"Williamsburg","Brooklyn","Entire home/apt",260,30,3
"Williamsburg","Brooklyn","Private room",150,30,16
"Midwood","Brooklyn","Entire home/apt",120,30,1
"Chinatown","Manhattan","Entire home/apt",279,4,6
"West Village","Manhattan","Entire home/apt",180,30,0
"Williamsburg","Brooklyn","Private room",68,30,9
"Crown Heights","Brooklyn","Entire home/apt",140,4,148
"Chinatown","Manhattan","Entire home/apt",225,30,15
"Prospect-Lefferts Gardens","Brooklyn","Private room",74,30,10
"Theater District","Manhattan","Private room",161,1,1
"Hell's Kitchen","Manhattan","Shared room",57,30,0
"Flatbush","Brooklyn","Entire home/apt",120,30,10
"Flatbush","Brooklyn","Entire home/apt",125,2,23
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",130,2,201
"Upper West Side","Manhattan","Entire home/apt",610,30,0
"Brighton Beach","Brooklyn","Entire home/apt",150,30,25
"Harlem","Manhattan","Entire home/apt",170,2,211
"Ridgewood","Queens","Private room",50,30,0
"Bushwick","Brooklyn","Entire home/apt",100,4,0
"Eltingville","Staten Island","Entire home/apt",500,2,0
"Hell's Kitchen","Manhattan","Private room",90,3,191
"Williamsburg","Brooklyn","Entire home/apt",200,30,4
"Theater District","Manhattan","Hotel room",383,1,0
"Hell's Kitchen","Manhattan","Entire home/apt",465,30,0
"Harlem","Manhattan","Private room",40,14,31
"Williamsburg","Brooklyn","Private room",55,30,1
"Crown Heights","Brooklyn","Entire home/apt",120,30,60
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",115,3,78
"Washington Heights","Manhattan","Private room",80,2,3
"South Slope","Brooklyn","Private room",95,2,31
"Bedford-Stuyvesant","Brooklyn","Private room",60,30,146
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",154,30,0
"Bedford-Stuyvesant","Brooklyn","Private room",61,3,38
"Clinton Hill","Brooklyn","Private room",85,3,113
"Lower East Side","Manhattan","Entire home/apt",132,30,2
"East New York","Brooklyn","Entire home/apt",213,2,28
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",150,30,38
"Prospect-Lefferts Gardens","Brooklyn","Entire home/apt",115,3,0
"East Harlem","Manhattan","Private room",63,30,8
"Hell's Kitchen","Manhattan","Entire home/apt",150,30,19
"Jamaica","Queens","Entire home/apt",175,2,1
"Upper West Side","Manhattan","Entire home/apt",195,1,2
"Williamsburg","Brooklyn","Private room",99,1,562
"Kingsbridge","Bronx","Private room",55,30,17
"Upper West Side","Manhattan","Private room",109,30,2
"Hell's Kitchen","Manhattan","Entire home/apt",275,365,0
"Prospect-Lefferts Gardens","Brooklyn","Entire home/apt",80,30,19
"Financial District","Manhattan","Private room",213,1,2
"Williamsburg","Brooklyn","Entire home/apt",250,7,2
"Ditmars Steinway","Queens","Entire home/apt",110,5,4
"Bensonhurst","Brooklyn","Entire home/apt",100,30,0
"East Harlem","Manhattan","Entire home/apt",90,30,2
"Williamsburg","Brooklyn","Private room",60,14,7
"Gramercy","Manhattan","Entire home/apt",102,30,0
"Gravesend","Brooklyn","Entire home/apt",200,30,1
"Elmhurst","Queens","Private room",41,30,3
"Upper West Side","Manhattan","Entire home/apt",450,30,13
"Woodhaven","Queens","Private room",35,2,462
"Bushwick","Brooklyn","Private room",37,30,4
"Lower East Side","Manhattan","Entire home/apt",175,2,36
"Chelsea","Manhattan","Entire home/apt",3517,4,19
"Ditmars Steinway","Queens","Private room",35,1,188
"Sunset Park","Brooklyn","Private room",55,30,35
"West Brighton","Staten Island","Entire home/apt",99,2,12
"Washington Heights","Manhattan","Private room",60,2,6
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",107,3,188
"Canarsie","Brooklyn","Entire home/apt",164,30,5
"Astoria","Queens","Private room",78,7,126
"Sunnyside","Queens","Private room",48,30,1
"East New York","Brooklyn","Entire home/apt",173,4,196
"Crown Heights","Brooklyn","Private room",75,30,12
"Boerum Hill","Brooklyn","Private room",185,2,15
"Crown Heights","Brooklyn","Private room",112,30,105
"Bedford-Stuyvesant","Brooklyn","Private room",30,30,0
"Little Italy","Manhattan","Entire home/apt",133,30,8
"Bushwick","Brooklyn","Private room",39,30,4
"Washington Heights","Manhattan","Entire home/apt",75,31,4
"Cypress Hills","Brooklyn","Entire home/apt",126,3,5
"Hell's Kitchen","Manhattan","Entire home/apt",799,30,0
"East Harlem","Manhattan","Private room",80,1,48
"Brownsville","Brooklyn","Private room",57,3,10
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",100,30,0
"Woodside","Queens","Private room",50,30,0
"Upper East Side","Manhattan","Private room",72,1,1
"Clinton Hill","Brooklyn","Entire home/apt",157,30,5
"Midtown","Manhattan","Entire home/apt",189,1,0
"East Village","Manhattan","Private room",50,30,0
"Crown Heights","Brooklyn","Private room",109,30,79
"Kips Bay","Manhattan","Entire home/apt",165,30,2
"Upper West Side","Manhattan","Entire home/apt",1000,30,0
"Harlem","Manhattan","Private room",73,5,27
"Crown Heights","Brooklyn","Private room",80,30,0
"Hell's Kitchen","Manhattan","Private room",156,1,243
"East Flatbush","Brooklyn","Entire home/apt",100,5,65
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",123,30,0
"Fort Greene","Brooklyn","Private room",100,30,0
"Harlem","Manhattan","Private room",60,7,1
"Tribeca","Manhattan","Entire home/apt",389,30,0
"Crown Heights","Brooklyn","Entire home/apt",120,30,11
"Park Slope","Brooklyn","Entire home/apt",100,30,1
"Greenpoint","Brooklyn","Entire home/apt",169,14,0
"Sea Gate","Brooklyn","Private room",71,30,0
"Astoria","Queens","Entire home/apt",70,30,32
"Prospect Heights","Brooklyn","Entire home/apt",91,7,61
"Washington Heights","Manhattan","Private room",50,30,0
"East Flatbush","Brooklyn","Entire home/apt",129,6,88
"Kew Gardens Hills","Queens","Private room",69,30,0
"Clinton Hill","Brooklyn","Entire home/apt",150,30,0
"Chinatown","Manhattan","Entire home/apt",400,7,1
"Williamsburg","Brooklyn","Entire home/apt",377,6,15
"Harlem","Manhattan","Private room",50,2,77
"Midtown","Manhattan","Entire home/apt",250,30,70
"Upper East Side","Manhattan","Entire home/apt",175,30,15
"Harlem","Manhattan","Entire home/apt",91,30,261
"Crown Heights","Brooklyn","Entire home/apt",110,2,318
"Murray Hill","Manhattan","Hotel room",125,30,4
"Midtown","Manhattan","Entire home/apt",141,1,28
"Bushwick","Brooklyn","Private room",45,4,76
"Crown Heights","Brooklyn","Private room",75,28,0
"Williamsburg","Brooklyn","Entire home/apt",120,14,3
"Greenpoint","Brooklyn","Private room",48,30,20
"Williamsburg","Brooklyn","Entire home/apt",250,30,26
"Hell's Kitchen","Manhattan","Private room",117,30,0
"Long Island City","Queens","Private room",75,1,0
"Crown Heights","Brooklyn","Private room",40,30,1
"East Village","Manhattan","Private room",55,30,0
"East Village","Manhattan","Entire home/apt",165,31,14
"East Harlem","Manhattan","Entire home/apt",105,5,66
"East Harlem","Manhattan","Entire home/apt",150,3,123
"Lower East Side","Manhattan","Entire home/apt",175,30,1
"Fort Greene","Brooklyn","Entire home/apt",150,30,1
"Highbridge","Bronx","Entire home/apt",100,30,59
"Harlem","Manhattan","Private room",80,1,17
"Bay Ridge","Brooklyn","Entire home/apt",87,2,158
"Bedford-Stuyvesant","Brooklyn","Private room",42,30,1
"Midtown","Manhattan","Entire home/apt",170,30,1
"Bedford-Stuyvesant","Brooklyn","Private room",35,10,0
"Longwood","Bronx","Private room",29,30,11
"Crown Heights","Brooklyn","Private room",59,3,78
"Greenpoint","Brooklyn","Entire home/apt",264,1,105
"Bedford-Stuyvesant","Brooklyn","Private room",40,7,5
"Kips Bay","Manhattan","Entire home/apt",175,3,52
"Richmond Hill","Queens","Entire home/apt",180,3,2
"Bushwick","Brooklyn","Private room",53,3,5
"Inwood","Manhattan","Private room",175,2,183
"Midtown","Manhattan","Entire home/apt",130,1,25
"Hell's Kitchen","Manhattan","Private room",130,30,1
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",85,30,3
"Bedford-Stuyvesant","Brooklyn","Private room",60,10,2
"Ditmars Steinway","Queens","Entire home/apt",70,30,2
"Astoria","Queens","Private room",129,2,0
"Chelsea","Manhattan","Entire home/apt",404,3,12
"Brooklyn Heights","Brooklyn","Entire home/apt",150,30,0
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",554,1,3
"Carroll Gardens","Brooklyn","Entire home/apt",126,30,6
"Arverne","Queens","Entire home/apt",200,30,38
"Midtown","Manhattan","Private room",90,30,1
"Prospect-Lefferts Gardens","Brooklyn","Entire home/apt",137,6,18
"Sunnyside","Queens","Entire home/apt",80,30,10
"Washington Heights","Manhattan","Entire home/apt",80,30,3
"Flatiron District","Manhattan","Entire home/apt",299,29,15
"Hell's Kitchen","Manhattan","Entire home/apt",330,1,4
"Flushing","Queens","Private room",82,2,16
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",100,30,3
"East Harlem","Manhattan","Private room",81,30,111
"East Village","Manhattan","Entire home/apt",195,3,30
"Flatbush","Brooklyn","Private room",30,30,1
"SoHo","Manhattan","Entire home/apt",375,30,6
"East Harlem","Manhattan","Private room",50,30,5
"Morningside Heights","Manhattan","Private room",100,31,2
"Fort Greene","Brooklyn","Entire home/apt",100,9,8
"Hell's Kitchen","Manhattan","Entire home/apt",225,30,0
"Williamsburg","Brooklyn","Entire home/apt",200,21,0
"Washington Heights","Manhattan","Private room",45,30,10
"Williamsburg","Brooklyn","Private room",70,30,0
"Elmhurst","Queens","Private room",88,30,2
"Bay Ridge","Brooklyn","Private room",40,30,1
"Hell's Kitchen","Manhattan","Entire home/apt",261,3,45
"Woodside","Queens","Entire home/apt",289,5,39
"Midtown","Manhattan","Entire home/apt",189,2,2
"Ozone Park","Queens","Entire home/apt",175,2,3
"Fordham","Bronx","Private room",35,9,6
"Flatbush","Brooklyn","Entire home/apt",450,30,1
"Hell's Kitchen","Manhattan","Entire home/apt",158,30,0
"East Village","Manhattan","Entire home/apt",100,30,18
"Upper East Side","Manhattan","Entire home/apt",73,100,10
"NoHo","Manhattan","Entire home/apt",275,30,8
"Sunset Park","Brooklyn","Entire home/apt",2500,1,2
"Greenpoint","Brooklyn","Entire home/apt",263,3,46
"Long Island City","Queens","Private room",99,30,0
"Upper West Side","Manhattan","Entire home/apt",350,30,22
"Hell's Kitchen","Manhattan","Entire home/apt",220,3,0
"Lower East Side","Manhattan","Private room",92,1,1
"West Village","Manhattan","Entire home/apt",220,30,0
"Williamsburg","Brooklyn","Entire home/apt",404,30,21
"Park Slope","Brooklyn","Entire home/apt",200,30,1
"Bay Ridge","Brooklyn","Shared room",225,30,1
"Lower East Side","Manhattan","Entire home/apt",104,4,164
"Crown Heights","Brooklyn","Private room",59,30,2
"Washington Heights","Manhattan","Private room",100,30,10
"Upper West Side","Manhattan","Entire home/apt",90,30,0
"Williamsburg","Brooklyn","Entire home/apt",175,30,2
"Bay Ridge","Brooklyn","Entire home/apt",55,30,10
"Sheepshead Bay","Brooklyn","Entire home/apt",115,3,23
"Flatbush","Brooklyn","Entire home/apt",600,4,1
"Bedford-Stuyvesant","Brooklyn","Private room",48,30,1
"Upper West Side","Manhattan","Entire home/apt",160,30,2
"East Flatbush","Brooklyn","Private room",56,6,1
"Bushwick","Brooklyn","Entire home/apt",190,2,16
"Washington Heights","Manhattan","Private room",65,2,13
"Little Italy","Manhattan","Entire home/apt",112,30,5
"Bedford-Stuyvesant","Brooklyn","Private room",65,30,0
"Boerum Hill","Brooklyn","Private room",95,2,21
"Parkchester","Bronx","Entire home/apt",160,7,24
"Greenwich Village","Manhattan","Entire home/apt",199,30,8
"Upper East Side","Manhattan","Entire home/apt",130,30,0
"Chelsea","Manhattan","Entire home/apt",324,30,0
"Crown Heights","Brooklyn","Entire home/apt",150,30,26
"Upper East Side","Manhattan","Entire home/apt",100,30,18
"West Village","Manhattan","Entire home/apt",200,30,0
"Canarsie","Brooklyn","Entire home/apt",250,3,25
"Bushwick","Brooklyn","Private room",20,30,0
"Jamaica","Queens","Entire home/apt",205,2,20
"Port Richmond","Staten Island","Private room",70,30,10
"Midtown","Manhattan","Private room",118,1,1
"Financial District","Manhattan","Entire home/apt",350,4,0
"Chelsea","Manhattan","Entire home/apt",335,30,0
"Midtown","Manhattan","Entire home/apt",295,30,15
"Williamsburg","Brooklyn","Entire home/apt",183,2,45
"Bedford-Stuyvesant","Brooklyn","Private room",44,30,0
"Upper West Side","Manhattan","Entire home/apt",110,30,2
"Bedford-Stuyvesant","Brooklyn","Private room",48,4,6
"Battery Park City","Manhattan","Entire home/apt",300,30,0
"Upper East Side","Manhattan","Entire home/apt",150,30,0
"Corona","Queens","Shared room",45,1,33
"Williamsburg","Brooklyn","Private room",100,30,0
"Crown Heights","Brooklyn","Private room",65,1,86
"East Flatbush","Brooklyn","Shared room",65,1,0
"Boerum Hill","Brooklyn","Entire home/apt",206,30,7
"Upper East Side","Manhattan","Entire home/apt",500,5,1
"Williamsburg","Brooklyn","Entire home/apt",200,30,0
"Midtown","Manhattan","Private room",162,1,0
"Flushing","Queens","Private room",27,30,0
"Theater District","Manhattan","Hotel room",482,1,1
"Astoria","Queens","Private room",70,30,0
"Bronxdale","Bronx","Private room",100,30,0
"Hell's Kitchen","Manhattan","Private room",99,30,0
"Williamsburg","Brooklyn","Private room",42,8,1
"Castleton Corners","Staten Island","Entire home/apt",120,2,40
"Upper West Side","Manhattan","Entire home/apt",125,30,0
"Upper East Side","Manhattan","Entire home/apt",150,30,21
"Midtown","Manhattan","Entire home/apt",200,30,2
"Washington Heights","Manhattan","Private room",50,30,4
"Kew Gardens","Queens","Entire home/apt",400,2,0
"Upper West Side","Manhattan","Entire home/apt",360,5,25
"Mott Haven","Bronx","Entire home/apt",100,30,16
"Bedford-Stuyvesant","Brooklyn","Private room",35,7,8
"Midtown","Manhattan","Entire home/apt",110,40,2
"Ditmars Steinway","Queens","Entire home/apt",130,3,8
"Hell's Kitchen","Manhattan","Private room",87,2,304
"Midtown","Manhattan","Private room",413,1,20
"Hell's Kitchen","Manhattan","Entire home/apt",786,30,3
"Cambria Heights","Queens","Entire home/apt",145,7,18
"Queens Village","Queens","Private room",70,1,0
"Hell's Kitchen","Manhattan","Private room",70,30,0
"Harlem","Manhattan","Private room",45,30,15
"Greenwich Village","Manhattan","Private room",90,30,5
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",90,5,23
"Bedford-Stuyvesant","Brooklyn","Private room",99,2,4
"Williamsburg","Brooklyn","Entire home/apt",225,100,22
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",53,2,9
"Bensonhurst","Brooklyn","Entire home/apt",129,30,25
"Williamsburg","Brooklyn","Entire home/apt",75,4,49
"Springfield Gardens","Queens","Entire home/apt",165,3,20
"Lower East Side","Manhattan","Private room",120,1,0
"Tribeca","Manhattan","Private room",264,1,2
"Financial District","Manhattan","Entire home/apt",229,30,0
"Canarsie","Brooklyn","Entire home/apt",486,30,0
"Upper East Side","Manhattan","Private room",100,30,2
"Bushwick","Brooklyn","Entire home/apt",515,30,0
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",150,30,1
"Harlem","Manhattan","Entire home/apt",58,3,13
"Prospect-Lefferts Gardens","Brooklyn","Private room",69,30,54
"Bedford-Stuyvesant","Brooklyn","Entire home/apt",100,3,82
"Upper East Side","Manhattan","Entire home/apt",165,4,8
"Upper East Side","Manhattan","Entire home/apt",173,30,0
"Chelsea","Manhattan","Private room",125,30,2
